Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,1042,BAT_1042,116.2,-92.2475,270.0,bottom
C1,100pF,C_0402_1005Metric,129.01,-74.0175,90.0,top
C10,220pF,C_0402_1005Metric,126.09,-94.3675,0.0,top
C11,100pF,C_0402_1005Metric,118.65,-111.0,90.0,top
C13,68pF,C_0402_1005Metric,122.9,-111.5175,-90.0,top
C14,560pF,C_0402_1005Metric,127.75,-138.7675,90.0,top
C2,0.1uF,C_0402_1005Metric,128.5,-130.7175,90.0,top
C20,0.1uF,C_0402_1005Metric,129.19,-84.9175,-90.0,top
C22,0.1uF,C_0402_1005Metric,128.25,-111.5175,-90.0,top
C23,0.1uF,C_0402_1005Metric,124.64,-76.6575,-90.0,top
C24,2.2uF,C_0402_1005Metric,128.5,-129.3,0.0,top
C25,2.2uF,C_0402_1005Metric,129.3,-126.8,90.0,top
C3,0.22uF,C_0402_1005Metric,122.05,-100.82,90.0,top
C4,1uF,R_0402_1005Metric,123.1,-100.77,90.0,top
C5,0.1uF,C_0402_1005Metric,125.6,-100.2675,180.0,top
C6,0.22uF,C_0402_1005Metric,124.0,-111.5175,-90.0,top
C7,0.047uF,C_0402_1005Metric,125.05,-111.5175,90.0,top
C8,0.022uF,C_0402_1005Metric,127.15,-111.5175,-90.0,top
C9,0.1uF,C_0402_1005Metric,120.25,-100.2675,0.0,top
Cin1,22uF,C_1206_3216Metric,113.975,-87.0175,90.0,top
Cin2,22uF,C_1206_3216Metric,117.325,-87.0175,90.0,top
Cin3,22uF,C_1206_3216Metric,120.675,-87.0175,90.0,top
Cin4,4.7uF,C_0805_2012Metric,125.5,-132.0175,0.0,top
Cout1,22uF,C_1210_3225Metric,125.075,-62.5175,-90.0,top
Cout2,22uF,C_1210_3225Metric,120.825,-62.5175,-90.0,top
Cout3,22uF,C_1210_3225Metric,116.825,-62.5175,-90.0,top
Cout6,4.7uF,C_0805_2012Metric,119.5,-142.2675,180.0,top
D2,"BASS516,115",D_SOD-523,106.1,-55.6675,180.0,top
D3,"BASS516,115",D_SOD-523,106.1,-95.3175,180.0,top
D4,MBR0520LT1G,D_SOD-123,124.25,-140.0175,180.0,top
H1,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,128.5,-50.5175,0.0,top
H2,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,103.5,-50.5175,0.0,top
H3,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,103.5,-142.5175,0.0,top
H4,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,128.5,-142.5175,0.0,top
J1,USB-C Receptacle 16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,111.75,-140.1525,0.0,top
J2,Fire Button,PinHeader_1x02_P2.54mm_Vertical,109.4,-122.905,180.0,top
J3,"OLED 0.96"" Display",PinHeader_1x08_P2.54mm_Vertical,103.5,-121.2675,180.0,top
J4,510 Power,TestPoint_Pad_2.5x2.5mm,123.45,-49.7675,180.0,top
J5,510 Ground,TestPoint_Pad_2.5x2.5mm,109.5,-49.7675,180.0,top
L1,"680nH, 23A, 30A Isat",L_Chilisin_BMRF00101040,106.825,-76.0175,90.0,top
L3,10uH,L_1210_3225Metric,119.5,-139.0175,0.0,top
Q1,BSC010NE2LSI,TRANS_BSC010NE2LSI,111.49975,-59.5175,0.0,top
Q2,BSC010NE2LSI,TRANS_BSC010NE2LSI,111.39975,-93.0,0.0,top
Q3,BSC010NE2LSI,TRANS_BSC010NE2LSI,107.92275,-66.0175,180.0,top
Q4,BSC010NE2LSI,TRANS_BSC010NE2LSI,108.00025,-86.0175,180.0,top
R1,10,R_0402_1005Metric,129.5,-67.5175,0.0,top
R10,49.9k,R_0603_1608Metric,123.0,-72.75,-90.0,top
R11,100,R_0402_1005Metric,127.57,-93.8675,90.0,top
R13,130k,R_0402_1005Metric,121.85,-111.5175,-90.0,top
R14,20k,R_0402_1005Metric,127.0,-100.7175,-90.0,top
R15,5.49k,R_0402_1005Metric,123.25,-76.75,90.0,top
R16,16.2k,R_0402_1005Metric,126.0,-81.75,90.0,top
R18,49.9k,R_0402_1005Metric,129.25,-138.7675,90.0,top
R19,6.98k,R_0402_1005Metric,128.25,-136.5175,90.0,top
R2,10,R_0402_1005Metric,130.0,-136.5175,90.0,top
R20,5.1k,R_0603_1608Metric,104.5,-137.0175,90.0,top
R21,5.1k,R_0603_1608Metric,102.5,-135.7675,90.0,top
R22,10k,R_0603_1608Metric,125.75,-126.6175,180.0,top
R23,10k,R_0603_1608Metric,114.5,-121.2675,-90.0,top
R24,4.7k,R_0603_1608Metric,129.14,-77.6575,-90.0,top
R25,4.7k,R_0603_1608Metric,127.49,-77.6575,-90.0,top
R26,120k,R_0603_1608Metric,128.95,-69.5675,-90.0,top
R27,47k,R_0402_1005Metric,129.0,-72.1675,-90.0,top
R28,100k,R_0603_1608Metric,123.3,-79.5,90.0,top
R29,200k,R_0402_1005Metric,125.1,-78.4,0.0,top
R3,10,R_0402_1005Metric,119.75,-111.5175,90.0,top
R4,10k,R_0603_1608Metric,106.9,-122.4,90.0,top
R5,1.5k,R_0402_1005Metric,126.1,-111.5175,90.0,top
R6,10k,R_0603_1608Metric,118.0,-108.5,90.0,top
R7,0,R_0402_1005Metric,120.8,-111.5175,90.0,top
R8,47,R_0603_1608Metric,123.25,-69.5,-90.0,top
R9,100,R_0402_1005Metric,126.09,-93.25,0.0,top
RS1,2m,R_1225_3264Metric,116.5,-75.5175,0.0,top
Rshunt1,10m,R_1225_3264Metric,124.88,-56.3075,90.0,top
SW1,SW_Push,SW_TS-1088-AR02016,104.8,-105.1,180.0,top
SW2,SW_Push,SW_TS-1088-AR02016,104.7,-108.7,180.0,top
U1,LM5175PWP,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias,123.95,-105.4175,0.0,top
U2,LMR62014XMF,SOT-23-5,125.5,-134.7675,90.0,top
U3,MCP4726,SOT-23-6,128.3875,-81.8875,0.0,top
U4,ADS1015IDGS,TSSOP-10_3x3mm_P0.5mm,125.89,-70.7075,180.0,top
U5,ESP32-C6-MINI-1U,MOD53_ESP32-C6-MINI-1U_EXP,122.35,-119.9,0.0,top
U6,LP3986-30B3F,SOT-23-3,125.5,-129.2675,90.0,top
U8,USBLC6-2SC6,SOT-23-6,108.25,-133.0175,270.0,top
